Sample,DIFAM_06_T1,DIFAM_34_T1,DIFAM_39_T1,DIFAM_46_T1,DIFAM_37_T1,DIFAM_28_T1,DIFAM_32_T1,DIFAM_41_T1,DIFAM_42_T1,DIFAM_47_T1,DIFAM_01_T1,DIFAM_04_T1,DIFAM_08_T1,DIFAM_10_T1,DIFAM_29_T1,DIFAM_26_T1,DIFAM_06_T2,DIFAM_34_T2,DIFAM_39_T2,DIFAM_46_T2,DIFAM_37_T2,DIFAM_28_T2,DIFAM_32_T2,DIFAM_41_T2,DIFAM_42_T2,DIFAM_47_T2,DIFAM_01_T2,DIFAM_04_T2,DIFAM_08_T2,DIFAM_10_T2,DIFAM_29_T2,DIFAM_26_T2
CA (μg/g dry feces),2209.708,118.926,47.626,300.496,5.819,5.111,61.837,10.264,8.923,153.87,22.376,105.791,6.039,7611.195,2.918,119.223,395.613,17.181,35.053,52.075,4.797,56.927,8.729,129.979,3.992,40.049,20.195,37.844,4.014,1148.242,10.61,1994.844
3β-DCA (μg/g dry feces),104.55,35.126,91.85,87.72,156.216,109.907,67.938,300.185,100.874,227.665,180.54,136.469,47.689,285.875,61.452,124.638,58.958,35.502,121.266,135.675,232.731,148.131,74.387,208.58,45.864,75.045,131.168,334.192,148.888,184.264,102.984,272.071
DCA (μg/g dry feces),864.27,474.389,831.815,1378.318,790.023,435.79,311.739,3442.474,458.987,2301.966,1703.625,845.988,258.643,5597.961,244.798,835.006,348.472,139.877,1035.968,1178.47,2299.903,981.604,288.062,1787.659,128.668,423.654,1062.096,2908.582,1173.981,2277.105,995.373,2246.634
LCA (μg/g dry feces),616.109,962.888,3685.721,6625.627,3987.04,2527.497,1926.16,5391.775,6140.821,6949.876,3672.29,2986.394,4136.461,3664.323,2207.247,6438.487,1960.77,1992.323,7256.188,5638.143,4010.162,8866.657,2875.351,5159.862,2535.438,2321.759,7996.094,7082.625,5376.424,6232.757,2409.071,1579.714
7-KLCA (μg/g dry feces),7.088,0.219,3.022,1.043,1.689,1.036,2.93,0.726,0.947,10.151,0.723,0.61,0.769,1.526,0.538,1.877,5.476,0.451,2.957,3.608,0.467,2.213,1.985,1.813,1.004,3.879,0.471,0.473,0.829,1.568,0.469,1.852
GCDCA (μg/g dry feces),3.142,1.828,5.368,3.591,8.152,10.141,7.318,6.56,9.13,10.136,6.56,4.698,4.601,3.022,4.373,12.028,5.532,7.341,6.868,5.572,4.28,9.243,9.161,4.499,4.662,6.402,16.791,8.346,4.836,9.922,3.39,6.583
GDCA (μg/g dry feces),4.673,0.96,2.839,1.703,6.083,15.71,11.148,2.298,7.655,7.143,5.333,5.674,5.779,1.658,7.451,10.032,4.364,5.785,5.431,2.962,2.064,14.476,10.218,4.227,5.267,6.666,12.634,4.145,3.451,7.182,2.144,4.167
HCA (μg/g dry feces),19.657,4.732,5.753,9.421,4.805,16.074,6.925,6.012,6.502,19.123,11.507,13.23,4.011,8.548,6.186,12.153,17.136,4.446,5.885,2.706,4.888,22.146,6.786,11.872,3.331,9.363,13.481,11.568,5.529,11.813,6.043,18.562
UDCA (μg/g dry feces),773.123,19.984,349.193,155.993,25.451,23.446,41.202,46.408,19.352,464.413,38.043,29.659,10.549,343.921,10.224,71.771,589.998,12.781,81.288,63.281,78.989,42.435,22.652,116.16,10.878,54.368,31.296,113.318,41.252,69.033,38.819,143.317
TLCA (μg/g dry feces),0.467,0.248,0.55,0.887,0.382,0.615,1.547,1.033,2.161,0.912,0.573,0.311,0.942,0.93,0.549,2.146,0.913,0.632,0.972,0.41,0.363,0.498,0.819,1.004,1.72,0.645,0.667,1.396,0.8,0.324,0.513,0.694
