Sample_µg/ml,DIFAM_01_2M,DIFAM_01_Basal,DIFAM_02_2M,DIFAM_02_Basal,DIFAM_04_2M,DIFAM_04_Basal,DIFAM_06_2M,DIFAM_06_Basal,DIFAM_07_2M,DIFAM_07_Basal,DIFAM_08_2M,DIFAM_08_Basal,DIFAM_09_2M,DIFAM_09_Basal,DIFAM_10_2M,DIFAM_10_Basal,DIFAM_11_2M,DIFAM_11_Basal,DIFAM_13_2M,DIFAM_13_Basal,DIFAM_14_2M,DIFAM_14_Basal,DIFAM_17_2M,DIFAM_17_Basal,DIFAM_18_2M,DIFAM_18_Basal,DIFAM_19_2M,DIFAM_19_Basal,DIFAM_20_2M,DIFAM_20_Basal,DIFAM_22_2M,DIFAM_22_Basal,DIFAM_25_2M,DIFAM_25_Basal,DIFAM_26_2M,DIFAM_26_Basal,DIFAM_27_2M,DIFAM_27_Basal,DIFAM_28_2M,DIFAM_28_Basal,DIFAM_29_2M,DIFAM_29_Basal,DIFAM_32_2M,DIFAM_32_Basal,DIFAM_34_2M,DIFAM_34_Basal,DIFAM_37_2M,DIFAM_37_Basal,DIFAM_38_2M,DIFAM_38_Basal,DIFAM_39_2M,DIFAM_39_Basal,DIFAM_41_2M,DIFAM_41_Basal,DIFAM_42_2M,DIFAM_42_Basal,DIFAM_44_2M,DIFAM_44_Basal,DIFAM_45_2M,DIFAM_45_Basal,DIFAM_46_2M,DIFAM_46_Basal,DIFAM_47_2M,DIFAM_47_Basal,DIFAM_48_2M,DIFAM_48_Basal,DIFAM_51_2M,DIFAM_51_Basal
Choline,0.790014863,1.495579107,1.850246706,1.788359309,0.921789913,3.060347928,0.878965626,3.75053668,0.659583606,1.678147449,0.392220884,3.940761517,2.099806775,1.613437045,2.230613044,2.576499112,2.956907118,2.73164991,1.879518476,2.09871299,1.765046063,2.231675578,1.593259316,2.073774692,1.730065777,1.618624711,3.976095981,2.034679691,1.623374863,1.207809482,1.41587864,2.195966102,1.29941658,1.581269349,1.923665722,2.261572368,1.673636888,2.049628086,1.421972585,1.640604581,2.977511944,2.615896206,1.791015644,1.63640653,1.773994266,1.440848189,1.893831434,1.619155978,1.578394257,1.626114534,1.898894096,1.724065585,2.568925953,1.949416546,1.532507372,1.351095317,1.636781542,1.81089128,2.277322872,1.261998716,3.263844023,2.433369532,1.620739362,2.029252434,2.048138455,2.043659145,1.539580515,1.486901746
Glycine,2.319415269,8.71495137,8.088251996,7.78445872,1.62474001,9.047113599,2.093116754,9.822504122,1.770480908,6.100908872,1.143894139,13.30124042,7.198282132,5.365508138,13.15305974,14.06572327,9.761945153,10.35695748,6.356612306,6.399755035,5.466454767,6.211111632,6.176129012,6.685771735,6.841474422,6.041768726,10.09400979,5.201818003,4.477670262,3.899841458,5.487774647,7.223633271,5.417561676,6.794458081,8.450487267,8.481919076,5.553941345,8.654865342,5.046783439,7.358248795,8.2456888,7.814764479,5.924997341,5.585245535,4.427591065,5.309153089,6.727630767,6.89653076,8.724327613,5.92264765,4.706783902,4.456658169,8.646622656,7.058727002,6.851503774,7.087103462,10.33026259,10.24923203,10.31352949,4.491145327,11.49402776,11.46610172,6.630978142,7.89728893,9.464352659,8.2929829,6.862966963,6.304070813
Cystathionine,0.008490332,0.011024096,0.0144469,0.01433577,0.008801496,0.020025626,0.01722515,0.03322787,0.006534444,0.030983044,0.001755854,0.061321534,0.025604352,0.028071438,0.01344673,0.010712932,0.01633611,0.013713442,0.034361396,0.038406528,0.015180358,0.018069738,0.017914156,0.009979474,0.02122583,0.039873444,0.01344673,0.010601802,0.013268922,0.025382092,0.01633611,0.009290468,0.02044792,0.01700289,0.064099784,0.03433917,0.015869364,0.008912626,0.011957588,0.028315924,0.015958268,0.029760614,0.026160002,0.025204284,0.026537844,0.010135056,0.030849688,0.045585526,0.015202584,0.020247886,0.010312864,0.0233373,0.024404148,0.021759254,0.010379542,0.017469636,0.031071948,0.0233373,0.028471506,0.01933662,0.032983384,0.049652884,0.011313034,0.01789193,0.029938422,0.046807956,0.017158472,0.029938422
Serine,5.325456768,16.3588979,16.74668,22.59301536,5.819537403,25.62056368,6.915521013,18.84973058,5.307833175,16.73516214,2.270395887,20.28351548,25.1209448,17.23772354,23.49492926,27.23983243,15.39934213,20.08883626,21.50088855,21.22635143,18.06967903,22.6575196,19.56708542,21.25490439,22.77668115,15.61966332,24.09835604,18.60976807,26.8976699,18.65100539,20.22217445,24.22904597,19.51497129,24.12776023,23.75021389,23.05155455,17.27234018,26.1385733,17.8497677,21.18072136,19.327806,18.64764251,19.57197211,14.647791,12.98192534,28.69905963,18.51541827,20.0613342,23.93504618,15.6667016,25.5342953,13.35030782,25.51113346,20.65020602,16.19258247,16.75153516,22.18731541,24.54612352,21.70588761,14.9010579,16.94102294,27.17870158,22.81337858,27.1079655,29.4996983,21.33511958,18.23050877,17.33533113
Betaine,0.69113814,1.28787681,0.90812337,1.518228855,0.294643965,0.5159286,0.700381275,2.080572285,0.39898947,0.99193248,0.405889605,2.61209355,1.591517895,1.13487891,1.14921807,1.61524077,1.781019735,1.58869458,1.37878521,1.171464855,0.913149105,1.037820135,1.220082105,1.72278447,1.536293385,1.172730075,0.674561415,0.81550458,0.891429495,0.813524745,1.824740115,2.63629674,1.00781802,0.93370893,0.929128365,0.51560058,1.584301455,1.563167595,1.677107685,1.73274222,1.74738597,1.44764598,1.772444355,2.30251296,0.748834515,0.698788035,1.143091125,1.255109955,0.601998705,0.473274285,1.440839565,1.3985367,1.283600835,1.147331955,1.453749495,1.643509065,1.104337905,1.367058495,1.05149154,0.90381225,1.673358885,2.250955245,1.48431393,1.80610155,1.08705828,1.164717015,1.905620475,1.682191995
Cysteine,5.471718876,24.72974951,25.75668956,25.18076761,7.203107392,17.62359435,8.751338336,19.05668695,6.59879766,25.39041076,5.000382244,36.7883439,24.71525878,22.32500218,21.91665663,30.66421478,21.76695134,28.40359938,25.04692216,31.30146791,19.73317169,18.21865958,16.5796071,23.8994158,17.26509403,17.40250158,28.78857316,23.56105227,21.47794839,24.03459401,24.33503446,24.48705392,28.72840511,19.1496409,23.07906567,21.79966454,16.46574093,19.15306973,25.1276753,27.42791002,18.27166708,25.21814547,34.16705942,26.63489358,11.47843185,32.48861782,22.94489309,22.17767162,21.94202754,19.41265503,34.813133,21.67588748,18.6643951,27.14457736,29.55014858,14.67276678,37.09839234,23.32860681,17.11444368,18.54198715,29.00009429,30.63488194,26.36980762,22.7923163,25.09596773,13.61279852,19.57024784,19.10131018
S-adenosylmethionine,0.002310952,0.022193108,0.010638348,0.008008644,0.002550016,0.015818068,0.00418362,0.01633604,0.008486772,0.009482872,0.001075788,0.01354696,0.014303996,0.011833668,0.0029883,0.006016444,0.006693792,0.008247708,0.022830612,0.024942344,0.01613682,0.028647836,0.01812902,0.020479816,0.006534416,0.01812902,0.004303152,0.00816802,0.017571204,0.009721936,0.01115632,0.018368084,0.011634448,0.010518816,0.021157164,0.007211764,0.01135554,0.014821968,0.014463372,0.010718036,0.008407084,0.014622748,0.0119532,0.01852746,0.011634448,0.033309584,0.012909456,0.010917256,0.009881312,0.01215242,0.032154108,0.015379784,0.01016022,0.017491516,0.010399284,0.015897756,0.019404028,0.01175398,0.013228208,0.022272796,0.008646148,0.015977444,0.007809424,0.014184464,0.012471172,0.006614104,0.009721936,0.02271108
Homocysteine,0.31334724,1.099729854,1.260296658,0.812959002,0.464370336,0.712479708,0.994803138,1.527993612,0.419950188,1.460119734,0.218937528,2.721322098,1.064528982,1.446534144,1.318302396,2.03682465,0.788788818,2.031998724,1.322506494,1.496266866,0.883833876,0.920819124,0.725497542,0.911059128,2.504871882,2.67642882,1.452968712,1.207008702,1.458064998,1.540970892,1.295348832,1.174957524,2.913412878,1.776508524,1.22777235,1.337552028,0.962021988,0.937919394,1.28562939,1.525736106,0.655866324,1.045252314,2.455558218,1.50218775,0.603254268,1.902712572,0.828153234,0.626599854,1.015864182,0.945421884,1.761773904,1.451670984,1.009037592,1.606641336,1.28840058,0.498016638,2.072201256,1.214740998,0.629168274,0.937689588,2.574692352,2.235282408,1.51753068,1.369386918,1.642315338,0.723023748,0.894121074,1.412887842
Methionine,1.634132999,2.641733208,1.49821761,2.942913593,1.199529032,2.013529266,1.831478145,3.089646707,1.609319376,2.178853946,0.939709659,2.364933737,3.255001229,2.004427456,1.91481193,1.320642789,3.483934132,3.056447482,2.44212007,2.11699148,2.09923549,1.485863022,2.485032866,2.152369171,3.671326971,2.302951903,1.142739706,1.10430321,3.341378898,2.612607416,2.655714185,2.49001648,2.625991553,2.793255963,2.920621619,2.249415355,2.649402602,3.270638437,2.453743529,4.861336405,3.427681962,3.348287321,2.777186046,3.421131643,1.746890996,3.350689602,3.441767386,3.393169689,4.007825363,2.460547505,3.815717488,3.167027013,3.776087312,3.362104167,2.118946131,2.028703923,3.27650239,3.462835838,3.233097201,2.963788072,3.86528505,4.269166678,2.761892021,2.962206446,4.88274804,4.011093062,3.894052738,4.466496903
Glutathione,0.21251178,0.40274286,0.462147816,0.251572152,0.324007476,0.338482248,0.262697136,0.345519876,0.19791408,0.729854268,0.146315052,1.117630644,0.891443124,1.168799424,0.624228384,0.756099396,0.319428408,1.137975228,0.298008204,0.515621496,0.441034932,0.42394794,0.44699694,0.715410228,0.676626444,0.766240956,0.887017716,0.496137408,0.944609484,0.653761836,0.844884144,0.863138952,0.739166064,0.389620296,0.531233352,0.540360756,0.599612052,0.988464048,0.798909072,0.996976812,0.21328008,0.60972288,0.785847972,0.2712099,0.505572132,0.9957168,0.733757232,0.398225256,0.765411192,0.508430208,1.21437498,1.000971972,0.748539324,0.900416868,0.559383864,0.170839188,0.620909328,0.5162976,0.222899196,0.929581536,0.465067356,0.562180476,1.254818292,1.230294156,1.453869456,0.383043648,0.333503664,0.458920956
