Gene,Rule
FOXO1,(SIRT1)
PPARA,(SIRT1)
PPARG,(SIRT1)
TP53,(NOT SIRT1)
EP300,(NOT SIRT1)
PPARGC1A,(SIRT1)
FOXO3,(SIRT1)
IGF1R,(NOT TP53) AND (FOXO1)
POLI,(TP53)
MDM2,(TP53 OR EP300)
NR1D1,((PPARA) OR (PPARG) OR (TP53) OR (PPARGC1A))
EIF2AK2,(TP53)
CHKA,(TP53)
LPL,(PPARG) OR (PPARA) OR (FOXO1)
PTGS2,(NOT TP53) AND (NOT PPARG) AND (NOT PPARA) AND (EP300)
PIK3R1,(TP53) OR (FOXO3)
UCP3,(PPARA) OR (PPARG)
PGAM2,(TP53)
FABP4,(PPARG) OR (PPARA) OR (FOXO1)
CD36,(PPARG) OR (PPARA)
CREBBP,(TP53) OR (EP300)
ACHE,(TP53)
AQP1,(TP53) OR (PPARG)
CDK1,(NOT TP53) AND (NOT FOXO1)
MAP2K1,(TP53)
MAPK1,(TP53) OR (PPARG)
UCP1,(PPARA) AND (PPARG) AND (NOT FOXO1) AND (PPARGC1A)
ALB,(TP53) OR (PPARG) OR (EP300)
RNF123,(TP53)
NOS3,(NOT TP53) AND (NOT FOXO1) AND (NOT FOXO3) AND (PPARG OR PPARA)
PRKCG,(TP53)
CDK9,(TP53)
CYP7A1,(NOT PPARA) AND (NOT FOXO1) AND (PPARGC1A OR PPARG)
ABCB1,(NOT TP53) AND (FOXO3 OR FOXO1 OR PPARA OR EP300)
CYP19A1,(NOT PPARG)
CA9,(TP53) OR (EP300)
APOA2,(PPARA) OR (PPARG)
ACSL1,(PPARA) OR (PPARG)
PTPRA,(NOT TP53)
PKLR,(PPARA) AND (NOT FOXO1)
ABCC1,(TP53) AND (NOT PPARA)
MAPK8,(TP53) OR (FOXO3)
CYP4F2,(PPARA)
CPT1B,(PPARA) OR (PPARG) OR (EP300) OR (PPARGC1A)
TBXAS1,(PPARG OR EP300) AND (NOT TP53)
SOD2, (PPARGC1A)
RRM2B,(TP53)
UBR5,(TP53)
FHL2,(TP53)
PPM1D,(TP53)
FAS,(TP53) OR (PPARG)
SLC19A1,(NOT TP53)
UCP2,(PPARG) OR (PPARA)
CHEK1,(NOT TP53)
