,minimum,maximum
10FTHF5GLUtl,0.0,238.48000000000002
10FTHF5GLUtm,0.0,238.48000000000002
10FTHF6GLUtl,0.0,200.0
10FTHF6GLUtm,0.0,200.0
10FTHF7GLUtl,0.0,166.66666666666666
10FTHF7GLUtm,0.0,166.66666666666666
10FTHFtl,-238.48000000000002,0.0
10FTHFtm,-1000.0,1000.0
11DOCRTSLtm,0.0,4.680531872526981
11DOCRTSLtr,-4.680531872526938,0.0
11DOCRTSTRNtm,0.0,4.680531872526974
11DOCRTSTRNtr,-4.69855702736346,0.0
13DAMPPOX,0.0,1.7532026096325808
1a_24_25VITD2Hm,0.0,0.0
1a_25VITD2Hm,0.0,0.0
1MNCAMti,0.0,504.0947256721165
1PPDCRp,0.0,0.04499999999995907
24_25DHVITD2t,0.0,0.0
24_25DHVITD2tm,0.0,0.0
24_25DHVITD3t,0.0,3.795830642128613
24_25DHVITD3tm,0.0,3.795830642128588
24_25VITD2Hm,0.0,0.0
24_25VITD3Hm,0.0,3.795830642128588
24NPHte,0.0,0.0
25HVITD2t,0.0,0.0
25HVITD2tin_m,0.0,0.0
25HVITD3t,0.0,3.8204150374791563
25HVITD3tin_m,0.0,3.795830642128588
25VITD2Hm,0.0,0.0
25VITD3Hm,0.0,3.795830642128588
2AMACHYD,0.0,390.20202500344897
2AMACSULT,0.0,2.6780898695180895
2AMADPTm,0.0,1000.0
2DR1PP,0.0,504.0947256721047
2HBO,-45.00082600218268,0.0
2HBt2,-1000.0,1000.0
2HCO3_NAt,-1000.0,1000.0
2MCITt,0.0,31.80957604855587
2OXOADOXm,0.0,1.0235392171101694
2OXOADPTm,-1000.0,1.0235392171101694
34DHOXPEGOX,0.0,1.3239885647021765
34DHOXPEGt,0.0,1.3239885647021765
34DHPHAMT,0.0,1.3239885647021765
34DHPHEt,-1000.0,0.0
34DHPLACOX,0.0,1000.0
34DHPLACOX_NADP_,-1000.0,1.3239885647021765
34DHXMANDACOX,0.0,1000.0
34DHXMANDACOX_NADP_,-1000.0,1.3239885647021765
34HPLFM,0.0,1.3239885647021765
34HPPOR,0.0,1.3239885647021765
35CGMPtn,0.0,252.04736283605212
3AIBTm,0.0,31.70028541041836
3AIBtmi,0.0,31.700285410417337
3DPHBH1,0.0,1.3239885647021765
3DPHBH2,0.0,1.3239885647021765
3DSPHR,0.028202558966685443,75.76368974028992
3HAO,0.0,0.9785392171102103
3HBCDm,0.0,4.547473508864641e-13
3HBCOAHLm,0.0,0.431292479151125
3HKYNAKGAT,0.0,1000.0
3HLYTCL,0.0,1.3239885647017218
3M4HDXPAC,0.0,1.3239885647017218
3MLDAt,0.0,0.7961241754121602
3MOBt2im,0.0,1000.0
3MOPt2im,0.0,1000.0
3MOX4HOXPGALDOX,0.0,1000.0
3MOX4HOXPGALDOX_NADP_,-1000.0,1.3239885647017218
3MOXTYROX,0.0,1.3239885647017218
3SALAASPm,-1000.0,0.0
3SALACBOXL,0.0,1.6780898695185442
3SALAOX,0.0,0.8390449347592721
3SALATAi,0.0,1.6780898695185442
3SALATAim,0.0,1.6780898695185442
3SPYRSP,0.0,1.6780898695185442
3SPYRSPm,0.0,1.6780898695185442
41R1H2MAE12BOOX,0.0,1.3239885647017218
41R2A1H12BOOX,0.0,1.3239885647017218
42A12BOOX,0.0,1.3239885647017218
4ABUTtm,-31.716408294546902,87.65089874584737
4HBZCOAFm,0.0,1.3239885647017218
4HBZFm,0.0,1.3239885647017218
4HDEBRISOQUINEte,0.0,0.0
4HGLSDm,0.0,238.48000000000002
4HOXPACDOX_NADP_,-1000.0,1.3239885647017218
4MOPt2im,0.0,1000.0
4MPTNLte,0.0,4.965174207278588
4MPTNLtm,-4.965174207278569,0.0
4MTOLBUTAMIDEte,0.0,0.0
4NPHSFte,0.0,0.0
4NPHSULT,0.0,0.0
4NPHte,0.0,0.0
4PYRDX,0.0,1.0
5ADTSTSTERONEGLCte,0.0,4.347002285411222
5ADTSTSTERONEGLCtr,-4.347002285411222,0.0
5ADTSTSTERONESte,0.0,2.678089869518544
5ADTSTSTERONESULT,0.0,168.03157522403478
5ADTSTSTERONEte,-4.88023456575486,0.0
5ADTSTSTERONEtr,-4.3470022854114045,4.880234565755082
5AOPtm,-34.38443679473184,0.0
5DHFtl,0.0,238.48000000000002
5FTHFt2,0.0,0.0
5HLTDL,0.0,0.9785392171102103
5HOMEPRAZOLEte,0.0,0.0
5HOXINDACTO2OX,0.0,192.8104527411702
5HOXINOXDA,0.0,0.9785392171102103
5HTRPVESSEC,0.0,0.9785392171102103
5MTHFt,-1000.0,1000.0
5MTHFt2,-761.52,761.52
5THFtl,0.0,238.48000000000002
5THFtm,0.0,275.46203776374983
6DHFtl,0.0,200.0
6DHFtm,0.0,200.0
6HTSTSTERONEte,0.0,4.880234565754916
6HTSTSTERONEtr,-4.88023456575489,0.0
6THFtl,0.0,200.0
6THFtm,0.0,214.01340709275638
7DHCHSTEROLtr,-3.998078267982998,3.998078267983015
7DHFtl,0.0,166.66666666666666
7DHFtm,0.0,166.66666666666666
7THFtl,0.0,166.66666666666669
7THFtm,0.0,167.97558336291638
A_MANASEly,0.0,0.0
A4GALTc,0.0,252.04736283605345
A4GALTg,0.0,100.86664113442242
A4GNT1g,0.0,0.0
A4GNT2g,0.0,0.0
AACTOOR,0.0,135.79776272011875
AACTtm,0.0,135.79776272011884
AASAD3m,0.0,0.04499999999995907
AATAi,-1000.0,0.04499999999995907
ABO1g,0.0,1.1162983141758724
ABO2g,0.0,1.1162983141758724
ABO3g,0.0,1.1162983141758724
ABO4g,0.0,1.1162983141758724
ABO5g,0.0,1.1162983141760137
ABO6g,0.0,1.1162983141758724
ABO7g,0.0,1.1162983141758724
ABO8g,0.0,1.116298314176035
ABO9g,0.0,1.1162983141759861
ABTArm,-31.71640829454634,87.650898745853
ABTD,-27.80116275047326,0.0
ABTti,0.0,27.801162750473583
ABUTt2rL,0.0,0.0
ABUTt4_2_r,-1000.0,1000.0
ACACT10m,-33.21202472090499,0.5385947807347975
ACACT1rm,0.0,259.43969477125387
ACACT1x,0.0,238.48000000000002
ACACt2m,-264.88074871844617,514.6699602842211
ACACT4p,0.0,53.12900140958508
ACACT5p,0.0,52.43223915385668
ACACT6p,0.0,52.432239153856955
ACACT7p,0.0,52.432239153856955
ACACT8p,0.0,142.4772754051718
ACACT9p,0.0,142.47727540517147
ACACtx,-514.6699602842147,0.0
ACALDtm,-131.4619199103456,0.0
ACALDtr,0.0,4.9651742072786575
ACALDtx,0.0,0.0
ACCOACm,0.0,504.23573846693733
ACCOAgt,0.0,1.1162983141760137
ACCOALm,0.0,252.04736283605553
ACCOAtn,-505.7375828149564,282.2363703713053
ACCOAtr,-761.52,761.52
ACETONEt2,-41.000116473103304,704.2288849928623
ACETONEt2m,-73.46888499286226,630.76
ACGAGBSIDEtg,-1.0,0.0
ACGAGBSIDEtl,0.0,1.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-1.1162983141760376,0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,0.0,1.1162983141760388
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-1.1162983141760379,0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.0,1.116298314176038
ACGALK,0.0,252.04736283605465
ACGALK2,0.0,252.04736283605516
ACGALtlg,-100.86664113442095,0.0
ACGALtly,0.0,168.03157522403464
ACGAM6PSi,0.0,281.55892622314985
ACGAMK,0.0,252.047362836048
ACGAMPM,0.0,252.0473628360529
ACGAMtly,0.0,1000.0
ACGBGBSIDEtg,-100.86664113442126,0.0
ACGBGBSIDEtl,0.0,100.86664113442137
ACGPID,0.0,0.0
ACGSm,0.0,25.043113927386933
ACHEe,0.0,238.48000000000002
ACHtn,-1.6428571428571104,282.2363703713128
ACHVESSEC,0.0,504.0947256721064
ACITL,0.0,504.0947256721091
ACN13ACNGALGBSIDEte,0.0,1.1162983141760137
ACN13ACNGALGBSIDEtg,-1.1162983141760137,0.0
ACN23ACNGALGBSIDEte,0.0,1.1162983141760137
ACN23ACNGALGBSIDEtg,-1.1162983141760137,0.0
ACNACNGAL14ACGLCGALGLUSIDEte,-1.116298314176083,0.0
ACNACNGAL14ACGLCGALGLUSIDEtg,0.0,1.1162983141760137
ACNACNGALGBSIDEte,0.0,1.1162983141760134
ACNACNGALGBSIDEtg,-1.1162983141760134,0.0
ACNAM9PL,0.0,252.047362836054
ACNAM9PL2,0.0,18.427175605823837
ACNAMlt,-72.04760081030177,0.0
ACNAMPH,0.0,252.0473628360545
ACNAMtn,0.0,252.04736283605246
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-1.1162983141760137,0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,0.0,1.1162983141760139
ACNMLr,-15.794721947849261,252.0473628360521
ACOAD10m,0.0,0.5385947807347975
ACOAD1fm,0.0,88.89829508502707
ACOAD8m,0.0,0.12011112724917439
ACOAD9m,0.0,0.43129247915089763
ACOAHi,0.0,281.55892622315014
ACOAO7p,0.0,192.81045274116832
ACODA,0.0,0.0
ACONTm,-1000.0,1000.0
ACOX22x,0.0,64.27015091372432
ACOX2x,0.0,4.686524871083458
ACP1_FMN_,0.0,504.09472567211003
ACRNtm,-761.52,761.52
ACS2,0.0,252.04736283605584
ACSm,0.0,252.04736283605234
ACSRTNMT,0.0,0.9785392171102103
ACt2m,-282.6879581072068,252.04736283605146
ACt2r,-1000.0,1000.0
ACtg,-15.219401417467578,0.0
ACTLMO,0.0,96.40522637058953
ACTNMO,0.0,73.46888499286099
ADA,0.23848000000000003,0.23848000000000003
ADAe,0.0,12.432837449003973
ADCim,0.0,73.46888499286074
ADEt,-12.4328374490032,9.611663477527411
ADK1m,-1000.0,1000.0
ADK3,-1000.0,1000.0
ADK3m,-1000.0,1000.0
ADKd,-1000.0,1000.0
ADMDC,0.0,1.7532026096325828
ADNCYC,0.0,252.04736283605212
ADNK1m,0.0,504.2802052269393
ADNt,-1000.0,1000.0
ADNt4,0.0,1000.0
ADNtl,0.0,504.09472567211765
ADNtm,-238.48000000000002,238.48000000000002
ADPMAN,0.0,0.0
ADPRIBt,0.0,0.0
ADPtx,-1000.0,1000.0
ADRNCOAtx,0.0,142.47727540516863
ADRNCPT1,0.0,212.25189725307553
ADRNCPT2,0.0,212.25189725307104
ADRNCRNt,-761.52,761.52
ADRNLPVESSEC,0.0,504.09472567210514
ADRNt,-1000.0,1000.0
ADSK,0.0,504.0947256721165
ADSL1,0.0,2.5
ADSL2,0.0,7.9356194534669875
AFLATOXINte,0.0,0.0
AG13T16g,0.0,10.958580992871902
AG13T17g,0.0,10.958580992872044
AG13T18g,0.0,10.958580992871982
AG13T1g,0.0,11.723133155165376
AG13T2g,0.0,11.723133155165373
AG13T3g,0.0,11.723133155165385
AGMTm,0.0,26.291800994639487
AGPAT1,0.0,1.5078740157480315
AGTim,0.0,192.81045274117238
AGTix,0.0,192.81045274117162
AHANDROSTANGLCte,0.0,0.0
AHANDROSTANGLCtr,0.0,0.0
AHCYStr,-1000.0,0.0
AHEXASE2ly,0.0,0.0
AHEXASEly,0.0,0.0
AIRCr,0.0,7.935619453466984
AKGDm,0.0,87.65089874585283
AKGMALtm,-1000.0,1000.0
AKGt4_3,-1000.0,1000.0
AKGtp,-1000.0,1000.0
AKR1C1,0.0,1.0
AKR1C41,0.0,1000.0
AKR1C42,0.0,1000.0
AKR1D,0.0,1000.0
AKR1D2,0.0,4.716721551953583
ALAASNNaEx,0.0,1000.0
ALACYSNaEx,0.0,1000.0
ALADGLNexR,-1000.0,1000.0
ALADGLYexR,-1000.0,1000.0
ALAGLNexR,-1000.0,1000.0
ALAGLNNaEx,0.0,1000.0
ALAGLYexR,-1000.0,1000.0
ALASERNaEx,0.0,1000.0
ALASm,0.0,1000.0
ALAt4,0.0,1000.0
ALATA_L,-532.4963844488794,1000.0
ALATHRNaEx,0.0,1000.0
ALAtN1,-1000.0,1000.0
ALCD21_D,0.0,1000.0
ALCD21_L,0.0,1000.0
ALCD22_D,0.0,1000.0
ALCD22_L,0.0,1000.0
ALCD2if,0.0,0.0
ALCD2yf,0.0,0.0
ALDD20x,0.0,0.9785392171102103
ALDD20xm,0.0,0.9785392171102103
ALDD21,0.0,761.52
ALDD2xm,0.0,131.4619199103549
ALDD2y,0.0,131.4619199103439
ALDSTRNte,0.0,4.680531872527536
ALDSTRNtm,-4.680531872527536,0.0
ALOX12,0.0,1.0
ALOX15,0.0,1.1162983141758787
ALOX5,0.0,1.0
ALOX52,0.0,1.0
ALR2,0.0,1000.0
ALR3,0.0,1000.0
AMACR2p,0.0,184.71794824594215
AMACRp,0.0,4.686524871083598
AMCOXO,0.0,0.9785392171102103
AMETr,0.0,1000.0
AMETt2m,-1000.0,1000.0
AMPDA,0.0,12.432837449003955
AMPTASECGe,0.0,252.04736283605212
AMPtp,-1000.0,1000.0
AMY1e,0.0,0.0
AMY2e,0.0,0.0
ANDRSTRNGLCte,0.0,4.347002285411333
ANDRSTRNGLCtr,-4.347002285411333,0.0
ANDRSTRNte,-4.8802345657550745,0.0
ANDRSTRNtr,-504.0947256721055,4.88023456575516
ANTIPYRENEte,0.0,0.0
AOBUTDsm,0.0,135.7977627201147
APAT2rm,-31.742477813867996,109.94508279135698
APNNOXte,0.0,0.0
APOCF,0.0,252.04736283606167
APOCFm,0.0,252.04736283605592
APOC_LYS_BTNP,0.0,252.04736283605644
APOC_LYS_BTNPm,0.0,252.0473628360512
APPNNte,0.0,0.0
APRTO2,0.0,24.561071776281995
AQCOBALt,0.0,1.0
ARAB_Lt,0.0,0.0
ARABR,0.0,0.0
ARACHCOAtx,-111.08127623870799,142.4772754051728
ARACHCPT1,-212.251897253074,212.25189725307504
ARACHCPT2,-212.251897253075,212.2518972530727
ARACHCRNt,-761.52,761.52
ARACHDCOAtx,-504.0947256721084,1000.0
ARACHDt2,-1000.0,1000.0
ARACHDtr,-1000.0,1000.0
ARACHt,-1000.0,1000.0
ARGDCm,0.0,26.291800994639264
ARGLYSex,0.0,1000.0
ARGNm,0.0,26.29180099463964
ARGSS,0.0,252.04736283605416
ARGt4,0.0,1000.0
ARGtm,-1000.0,1000.0
ARSA,0.0,1.0
ARTCOAL1,0.0,252.04736283605715
ARTCOAL2,0.0,252.0473628360572
ARTCOAL3,0.0,252.0473628360521
R_group_phosphotase_1,0.0,253.95926708084343
R_group_phosphotase_2,0.0,252.93106452187203
R_group_phosphotase_3,0.0,252.04736283604825
ARTFR208,0.0,1.1162983141761513
ARTPLM3,0.0,0.0
ARTPLM3m,0.0,0.0
ASAH1,0.23848000000000003,0.23848000000000003
ASCBOX,0.0,1.0076921212121213
ASCBt,-1000.0,1000.0
ASCBt4,-1000.0,1000.0
ASNALANaEx,0.0,1000.0
ASNCYSNaEx,0.0,1000.0
ASNGLNNaEx,0.0,1000.0
ASNNm,0.0,168.0315752240307
ASNS1,0.45067482782030766,168.48225005185338
ASNSERNaEx,0.0,1000.0
ASNt4,0.0,1000.0
ASNTHRNaEx,0.0,1000.0
ASNtm,0.0,168.03157522403416
ASNtN1,-1000.0,1000.0
ASPCTr,0.18550367834586723,89.14058077303207
ASPDt6,0.0,1000.0
ASPDxt,0.0,0.0
ASPGLUm,0.0,1000.0
ASPNATm,0.0,281.558926223145
ASPt6,0.0,1000.0
ASPTAm,-1000.0,168.03157522403794
ATP1ter,0.0,504.0947256721006
ATP2ter,0.0,252.95926708084076
ATPasel,0.0,100.81894513442063
ATPH1e,0.0,168.0315752240317
ATPH2e,0.0,178.03157522402944
ATPtm,0.0,1000.0
ATPtn,0.0,1000.0
ATPtx,-1000.0,1000.0
AVITE2t,0.0,0.0
B_MANNASEly,0.0,0.0
B3GALT3g,0.0,100.86664113442032
B3GALT41g,0.0,50.40947256721046
B3GALT42g,0.0,50.40947256721006
B3GALT43g,0.0,36.00676611943632
B3GALT44g,0.0,1.1162983141761273
B3GALT5g,0.0,1.1162983141761276
B3GALTg,0.0,1.1162983141761267
B3GNT11g,0.0,1.1162983141761267
B3GNT12g,0.0,1.1162983141761267
B3GNT310g,0.0,1.1162983141761504
B3GNT311g,0.0,1.1162983141761504
B3GNT312g,0.0,1.1162983141761504
B3GNT313g,0.0,1.1162983141761271
B3GNT314g,0.0,1.1162983141761267
B3GNT315g,0.0,1.1162983141761267
B3GNT31g,0.0,1.1162983141761267
B3GNT32g,0.0,1.1162983141761267
B3GNT33g,0.0,1.1162983141761267
B3GNT34g,0.0,1.1162983141761267
B3GNT35g,0.0,1.1162983141761267
B3GNT36g,0.0,100.86664113442305
B3GNT37g,0.0,1.11629831417609
B3GNT39g,0.0,168.19056189070415
B3GNT51g,0.0,1.1162983141761516
BAAT1x,0.0,1000.0
BAAT2x,0.0,1000.0
BAAT3x,0.0,184.71794824593752
BAAT4x,0.0,1000.0
BACCL,0.0,252.04736283605644
BACCLm,0.0,252.04736283605644
BALAtmr,-31.742477813866685,109.9450827913597
BALAVECSEC,0.0,504.0947256721177
BAMPPALDOX,0.0,1.7532026096326039
BBHOX,0.0,0.0
BCDO,0.0,0.0
BDHm,-38.33777124758065,0.0
BETALDHxm,0.0,24.239282460810742
BHBt,-1000.0,1000.0
BHBtm,-38.33777124758082,0.0
BHMT,0.0,2.5
BILDGLCURt,-1000.0,1000.0
BILDGLCURte,0.0,504.09472567211094
BILDGLCURtr,-1.0,238.48000000000002
BILGLCURt,-1000.0,1000.0
BILGLCURte,0.0,238.48000000000002
BILGLCURtr,-503.85624567211426,504.57168567210346
BILIRED,0.0,1.0
BILIRUBt2,-1000.0,1000.0
BILIRUBtr,-1000.0,1000.0
BIOCYTtn,0.0,252.04736283605143
BMTer_U,0.0,0.0
BPNT2,0.0,504.09472567210275
BTND1,0.0,252.04736283605143
BTND1n,0.0,252.04736283605146
BTNDe,0.0,0.0
BTNDm,0.0,252.04736283605507
BTNPL,0.0,252.04736283605487
BTNPLm,0.0,252.0473628360562
BTNt2,-630.76,630.76
BTNt2m,0.0,1.0
BTNt3i,0.0,504.09472567210787
BTNt4i,0.0,1000.0
BTNtn,-252.04736283605126,1.0
BUP2,0.0,88.95507709467824
BUTt2m,0.0,0.0
BVITEt,0.0,0.0
BZt,0.0,0.0
BZtr,0.0,0.0
C14STRr,0.0,3.9980782679830935
C160CPT1,-1000.0,1000.0
C160CPT2,-504.09472567211196,504.0947256721133
C160CRNt,-761.52,761.52
C161CPT1,-1000.0,1000.0
C161CPT12,-52.432239153858596,192.81045274117423
C161CPT2,-1000.0,1000.0
C161CPT22,-106.39618861506267,192.81045274117093
C161CRN2t,-761.52,761.52
C161CRNt,-761.52,761.52
C180CPT1,-212.3681955672511,212.25189725307845
C180CPT2,-212.25189725307135,212.2518972530731
C180CRNt,-761.52,761.52
C181CPT1,-1000.0,1000.0
