Metabolite,Comparison,p-value,Significance
Propionate,0.3 vs 9.0,0.0008,***
Succinate,1.0 vs 9.0,0.0014,**
Propionate,1.0 vs 9.0,0.0017,**
Butyrate,0.0 vs 9.0,0.002,**
Succinate,0.3 vs 9.0,0.0023,**
Butyrate,0.3 vs 9.0,0.0023,**
Propionate,3.0 vs 9.0,0.0027,**
Succinate,0.0 vs 9.0,0.0028,**
Succinate,3.0 vs 9.0,0.0029,**
Propionate,0.0 vs 9.0,0.0036,**
Malate,0.0 vs 9.0,0.0052,**
Malate,0.3 vs 9.0,0.0053,**
Butyrate,1.0 vs 9.0,0.0063,**
2-Hydroxyglutarate,0.3 vs 9.0,0.0063,**
2-Hydroxyglutarate,0.3 vs 3.0,0.008,**
Succinate,0.3 vs 3.0,0.0084,**
2-Hydroxyglutarate,1.0 vs 9.0,0.0102,*
3-Hydroxypropionate,0.3 vs 9.0,0.0117,*
Lactate,0.3 vs 9.0,0.0127,*
Malate,1.0 vs 9.0,0.0139,*
Methylcitrate,1.0 vs 3.0,0.0153,*
Malate,3.0 vs 9.0,0.0169,*
Methylcitrate,0.3 vs 3.0,0.018,*
2-Hydroxyglutarate,1.0 vs 3.0,0.019,*
Lactate,1.0 vs 9.0,0.0222,*
Isocitrate,0.3 vs 9.0,0.0226,*
3-Hydroxypropionate,1.0 vs 9.0,0.0238,*
Citrate,3.0 vs 9.0,0.0246,*
Methylcitrate,0.0 vs 3.0,0.025,*
Citrate,0.0 vs 9.0,0.0251,*
Citrate,0.3 vs 9.0,0.0254,*
Citrate,1.0 vs 9.0,0.026,*
Butyrate,3.0 vs 9.0,0.0287,*
Lactate,0.0 vs 9.0,0.0288,*
Isocitrate,1.0 vs 9.0,0.0289,*
Isocitrate,3.0 vs 9.0,0.0309,*
3-Hydroxypropionate,0.0 vs 9.0,0.0346,*
Fumarate,1.0 vs 9.0,0.0347,*
Succinate,1.0 vs 3.0,0.0506,
Isocitrate,0.0 vs 9.0,0.0539,
Pyruvate,0.0 vs 3.0,0.0681,
Malate,1.0 vs 3.0,0.0732,
Succinate,0.0 vs 3.0,0.0738,
2-Hydroxyglutarate,0.0 vs 9.0,0.0756,
Butyrate,0.0 vs 3.0,0.0913,
2-Ketoglutarate,0.3 vs 1.0,0.0931,
Fumarate,0.3 vs 9.0,0.098,
Butyrate,0.3 vs 3.0,0.1052,
2-Ketoglutarate,0.0 vs 1.0,0.1053,
Glyoxalate,0.3 vs 3.0,0.1077,
Malate,0.0 vs 3.0,0.11,
Glyoxalate,0.3 vs 9.0,0.1108,
