MicrobeID	2-Fucosyllactose	3-Fucosyllactose	3-Sialyllactose	6-Sialyllactose	Difucosyllactose	Difucosyllacto-N-hexaose a	Disialyllactose	Disialyllacto-N-tetraose	Galacto-N-biose	Lacto-N-biose	Lacto-N-difucohexaose	Lacto-N-difucopentaose II	Lacto-N-fucopentaose I	Lacto-N-fucopentaose II	Lacto-N-fucopentaose III	Lacto-N-fucopentaose V	Lacto-N-hexaose	Lacto-N-neohexaose	Lacto-N-neotetraose	Lacto-N-tetraose	Lacto-N-triose I	Lacto-N-triose II	Lactodifucotetraose	Monofucosyllacto-N-hexaose	Monofucosylmonosialyllacto-N-hexaose	Sialyllacto-N-tetraose a	Sialyllacto-N-tetraose b	Sialyllacto-N-tetraose c	N-acetyllactosamine	Lactose	N-acetylgalactosamine	N-acetylneuraminic acid	D-glucose	N-acetylglucosamine	L-fucose
Akkermansia_muciniphila_ATCC_BAA_835	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
Bacteroides_fragilis_3_1_12	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_638R	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_BOB25	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_CL03T00C08	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_CL03T12C07	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_CL05T00C42	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_CL05T12C13	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_CL07T00C01	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_CL07T12C05	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_ERR1022457	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_ERR1203962	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_ERR1204056	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_ERR2221134	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_ERR2221268	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_ERR2221298	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_ERR2230126	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_ERR2230137	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_HMW_610	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_HMW_615	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_HMW_616	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_NCTC_9343	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_str_3397_T10	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis_str_3986_T_B_9	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
