Taxon,TaxonID,Species,AGORA2_Species
taxid_46125,46125,Abiotrophia defectiva,Abiotrophia_defectiva
taxid_31971,31971,Absiella dolichum,Amedibacillus_dolichus
taxid_291968,291968,Acaricomes phytoseiuli,Acaricomes_phytoseiuli
taxid_258515,258515,Acetanaerobacterium elongatum,Acetanaerobacterium_elongatum
taxid_879566,879566,Acetatifactor muris,Acetatifactor_muris
taxid_290052,290052,Acetivibrio ethanolgignens,Acetivibrio_ethanolgignens
taxid_1511,1511,Acetoanaerobium sticklandii,Acetoanaerobium_sticklandii
taxid_52694,52694,Acetobacterium wieringae,Acetobacterium_wieringae
taxid_649746,649746,Acetomicrobium hydrogeniformans,Anaerobaculum_hydrogeniformans
taxid_2374,2374,Acetonema longum,Acetonema_longum
taxid_1287735,1287735,Achromobacter insuavis,Achromobacter_insuavis
taxid_1806492,1806492,Achromobacter sp. 2789STDY5608615,Achromobacter_sp_2789STDY5608615
taxid_1806496,1806496,Achromobacter sp. 2789STDY5608621,Achromobacter_sp_2789STDY5608621
taxid_85698,85698,Achromobacter xylosoxidans,Achromobacter_xylosoxidans
taxid_65403,65403,Acidaminobacter hydrogenoformans,Acidaminobacter_hydrogenoformans
taxid_905,905,Acidaminococcus fermentans,Acidaminococcus_fermentans
taxid_187327,187327,Acidaminococcus intestini,Acidaminococcus_intestini
taxid_1852375,1852375,Acidaminococcus massiliensis,Acidaminococcus_massiliensis
taxid_1111120,1111120,Acidaminococcus sp. BV3L6,Acidaminococcus_sp_BV3L6
taxid_1203555,1203555,Acidaminococcus sp. HPA0509,Acidaminococcus_sp_HPA0509
taxid_1748,1748,Acidipropionibacterium acidipropionici,Acidipropionibacterium_acidipropionici
taxid_1749,1749,Acidipropionibacterium jensenii,Acidipropionibacterium_jensenii
taxid_1382359,1382359,Acidobacterium ailaaui,Acidobacterium_ailaaui
taxid_33075,33075,Acidobacterium capsulatum,Acidobacterium_capsulatum
taxid_470,470,Acinetobacter baumannii,Acinetobacter_baumannii
taxid_471,471,Acinetobacter calcoaceticus,Acinetobacter_calcoaceticus
taxid_29430,29430,Acinetobacter haemolyticus,Acinetobacter_haemolyticus
taxid_40214,40214,Acinetobacter johnsonii,Acinetobacter_johnsonii
taxid_40215,40215,Acinetobacter junii,Acinetobacter_junii
taxid_106654,106654,Acinetobacter nosocomialis,Acinetobacter_nosocomialis
taxid_48296,48296,Acinetobacter pittii,Acinetobacter_pittii
taxid_1852361,1852361,Actinomyces bouchesdurhonensis Marseille-P2825,Actinomyces_bouchesdurhonensis
taxid_131109,131109,Actinomyces bowdenii,Actinomyces_bowdenii
taxid_66228,66228,Actinomyces europaeus,Gleimia_europaea
taxid_52769,52769,Actinomyces gerencseriae,Actinomyces_gerencseriae
taxid_55565,55565,Actinomyces graevenitzii,Actinomyces_graevenitzii
taxid_1673722,1673722,Actinomyces ihuae,Actinomyces_ihuae
taxid_544581,544581,Actinomyces johnsonii,Actinomyces_johnsonii
taxid_461393,461393,Actinomyces massiliensis,Actinomyces_massiliensis
taxid_1655,1655,Actinomyces naeslundii,Actinomyces_naeslundii
taxid_544580,544580,Actinomyces oris,Actinomyces_oris
taxid_1325934,1325934,Actinomyces polynesiensis,Actinomyces_polynesiensis
taxid_1739406,1739406,Actinomyces sp. HMSC035G02,Actinomyces_sp_HMSC035G02
taxid_1203556,1203556,Actinomyces sp. HPA0247,Actinomyces_sp_HPA0247
taxid_1105029,1105029,Actinomyces sp. ICM39,Actinomyces_sp_ICM39
taxid_936548,936548,Actinomyces sp. ICM47,Actinomyces_sp_ICM47
taxid_936549,936549,Actinomyces sp. ICM54,Actinomyces_sp_ICM54
taxid_1105030,1105030,Actinomyces sp. ICM58,Actinomyces_sp_ICM58
taxid_712118,,Actinomyces sp. oral taxon 172 str. F0311,Actinomyces_sp_oral_taxon_172
taxid_712121,712121,Actinomyces sp. oral taxon 181 str. F0379,Actinomyces_sp_oral_taxon_181
taxid_1118058,1118058,Actinomyces sp. ph3,Actinomyces_sp_ph3
taxid_1284680,1284680,Actinomyces sp. S6-Spd3,Actinomyces_sp_S6_Spd3
taxid_1288391,1288391,Actinomyces timonensis,Actinomyces_timonensis
taxid_103621,103621,Actinomyces urogenitalis,Actinomyces_urogenitalis
taxid_1656,1656,Actinomyces viscosus,Actinomyces_viscosus
taxid_1870995,1870995,Actinotignum timonense UMB0063,Actinotignum_timonense
taxid_446660,446660,Adlercreutzia equolifaciens,Adlercreutzia_equolifaciens
taxid_87541,87541,Aerococcus christensenii,Aerococcus_christensenii
taxid_1377,1377,Aerococcus viridans,Aerococcus_viridans
taxid_1464554,1464554,Aeromicrobium massiliense,Aeromicrobium_massiliense
taxid_648,648,Aeromonas caviae,Aeromonas_caviae
taxid_644,644,Aeromonas hydrophila,Aeromonas_hydrophila
taxid_651,651,Aeromonas media,Aeromonas_media
taxid_1628085,1628085,Agathobaculum butyriciproducens OF09-27,Agathobaculum_butyriciproducens
taxid_39484,39484,Agathobaculum desmolans,Agathobaculum_desmolans
taxid_732,732,Aggregatibacter aphrophilus,Aggregatibacter_aphrophilus
taxid_739,739,Aggregatibacter segnis,Aggregatibacter_segnis
taxid_358,358,Agrobacterium tumefaciens,Agrobacterium_tumefaciens
