taxonID,V3_C005,V3_C009,V3_C010,V3_C016,V3_C018,V3_C019,V3_C100,V3_C101,V3_C105,V3_C106,V3_C110,V3_C111,V3_C112,V3_C113,V3_C114,V3_C117,V3_C119,V3_C120,V4_C005,V4_C009,V4_C010,V4_C016,V4_C018,V4_C019,V4_C100,V4_C101,V4_C105,V4_C106,V4_C110,V4_C111,V4_C112,V4_C113,V4_C114,V4_C117,V4_C119,V4_C120,V5_C005,V5_C009,V5_C010,V5_C018,V5_C019,V5_C100,V5_C101,V5_C105,V5_C106,V5_C110,V5_C111,V5_C112,V5_C113,V5_C114,V5_C117,V5_C119,V5_C120,V6_C005,V6_C009,V6_C010,V6_C016,V6_C018,V6_C019,V6_C100,V6_C101,V6_C105,V6_C106,V6_C110,V6_C111,V6_C112,V6_C113,V6_C114,V6_C117,V6_C119,V6_C120
taxid_0,90,111,58,130,64,199,11,31,39,9,170,149,257,61,1,59,87,104,98,139,229,201,27,374,162,143,79,45,6,447,229,350,69,478,3326,4,550,882,539,726,4076,26,2704,353,347,159,321,2012,726,1353,513,2707,115,3156,5960,1653,2014,8645,12363,1758,6511,2939,951,2825,3620,11136,3130,8163,13477,3281,2099
taxid_186802,0,0,0,0,0,129,0,0,1,0,0,18,12,1,0,0,0,0,9,0,0,7,1,53,245,6,0,2,0,1,2,9,2,1767,570,0,36,161,2394,384,3898,3,1498,29,248,0,1201,1989,1500,209,17,892,6,3365,1625,3249,3445,1973,8435,2779,6364,2162,1945,1559,3580,13039,8174,11512,4603,3355,5379
taxid_543,0,111,109,0,112,314,0,0,1255,24,107,29,86,0,19,0,752,0,237,106,88,84,104,123,38,2671,140,194,205,4225,349,1503,161,192,2333,17,562,2521,4222,3461,304,165,194,630,226,344,1183,1995,6520,1459,608,5676,948,23,113,983,1426,678,2897,1742,1617,2638,147,3876,619,1240,2422,2438,24,2736,1709
taxid_562,1,151,210,2,164,163,0,0,942,89,210,179,119,0,104,2,31,0,24,130,188,12,148,94,10,2641,211,316,493,3606,310,283,477,531,2036,5,602,906,2240,3202,82,273,273,206,281,224,2674,2225,5006,2217,229,4449,763,5,142,684,1722,716,2069,1608,2008,992,802,3497,2184,107,1370,3064,6,1388,625
taxid_216816,0,0,107,8,1244,1984,0,1,3738,0,5207,2338,159,1,0,135,37,0,0,142,104,618,515,1,0,53,168,14,1351,393,120,20,1005,1155,352,276,405,0,114,1560,328,755,31,383,370,368,1041,595,376,7061,86,574,812,392,186,1669,2231,3151,2399,96,1407,1726,749,1644,2767,597,764,2349,873,316,1396
taxid_729,0,0,0,0,169,262,0,14,31,11,2,33,0,0,12,0,997,235,0,0,340,2357,24,3412,0,0,133,68,0,1,0,0,0,0,0,0,4,1130,0,1,9065,0,0,344,0,74,1,5036,3141,3,0,0,0,981,1567,209,61,1343,3936,352,1,2561,803,8634,74,54,3583,68,0,800,5
taxid_816,237,86,1294,68,1351,0,200,0,257,32,2234,708,27,0,0,770,1,0,1037,52,4006,3,256,5,85,0,226,150,0,2434,3,0,0,514,17,3,278,2,600,154,3,357,0,230,581,0,5061,1,293,1,184,8,0,596,168,220,1114,71,115,482,112,4905,3,279,3785,1,274,151,7214,335,7752
taxid_1301,826,556,17,1938,16,3298,236,146,59,246,809,394,566,180,10,11,1,173,750,1141,51,441,378,259,500,697,881,902,75,552,324,1236,1109,440,140,73,165,252,61,13,2766,13,257,2,226,282,27,5991,1204,200,531,454,605,224,972,49,123,18,1842,552,2,720,819,305,235,425,416,922,234,86,16
taxid_1685,0,0,1,0,576,17,0,0,330,0,23,25,0,0,0,169,19,0,0,0,1,1,420,0,0,87,0,142,7,15,6,3,3,3266,8,1,540,1,427,747,4,21,7,5,2,828,2600,2051,105,2611,1654,5,3,443,63,1036,739,2289,70,1958,4,548,684,763,4804,2237,11,478,4877,15,533
taxid_154046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,66,5,0,1,34,1,5,4961,0,236,0,35,0,1,27,6,8,0,34,0,187,418,3260,32,608,1128,3145,4855,185,4624,579,894,147,6724,3745,2236,37,41
