ID,V3_C005,V3_C009,V3_C010,V3_C016,V3_C018,V3_C019,V3_C100,V3_C101,V3_C105,V3_C106,V3_C110,V3_C111,V3_C112,V3_C113,V3_C114,V3_C117,V3_C119,V3_C120,V4_C005,V4_C009,V4_C010,V4_C016,V4_C018,V4_C019,V4_C100,V4_C101,V4_C105,V4_C106,V4_C110,V4_C111,V4_C112,V4_C113,V4_C114,V4_C117,V4_C119,V4_C120,V5_C005,V5_C009,V5_C010,V5_C018,V5_C019,V5_C100,V5_C101,V5_C105,V5_C106,V5_C110,V5_C111,V5_C112,V5_C113,V5_C114,V5_C117,V5_C119,V5_C120,V6_C005,V6_C009,V6_C010,V6_C016,V6_C018,V6_C019,V6_C100,V6_C101,V6_C105,V6_C106,V6_C110,V6_C111,V6_C112,V6_C113,V6_C114,V6_C117,V6_C119,V6_C120
panAchromobacter_insuavis,0,0,0,0,0,0,0,0,0,0,0,0.0019588,0,0,0.0017391,0.0012253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAchromobacter_sp_2789STDY5608615,0,0,0,0,0,0,0.00455,0,0,0,0,0.0090105,0.0014556,0,0.0034783,0.0098024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAchromobacter_sp_2789STDY5608621,0,0,0,0,0,0,0.0071217,0,0,0,0,0.011025,0.0021172,0,0.0069565,0.008424,0,0.0013495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panAchromobacter_xylosoxidans,0,0,0,0,0,0,0.0035608,0,0,0,0,0.0045332,0,0,0.0017391,0.0045949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panActinomyces_bouchesdurhonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079396,0,0,0,0,0.0021576,0,0,0.0053588,0,0.0026089,0,0.0020296,0,0.0015892,0.02025,0,0,0,0,0,0,0,0,0,0.0063007,0,0,0,0,0,0,0,0
panActinomyces_graevenitzii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015752,0,0,0,0,0,0,0,0.012928,0,0,0,0,0,0.0010169,0,0,0,0.0054589,0,0,0,0,0,0,0,0,0.0015251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panActinomyces_ihuae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
panActinomyces_sp_HMSC035G02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083534,0.015025,0.0040633,0,0,0.001535,0,0,0,0,0,0.036852,0.0051347,0.0015424,0.055119,0.002424,0.0019268,0,0.046523,0.054234,0.0016374,0.0031096,0,0,0,0,0,0,0.034048,0.0060141,0,0,0,0,0.0019726,0,0.016484,0,0,0
panActinomyces_sp_HPA0247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044904,0,0,0,0,0,0.037315,0,0,0,0,0,0.012572,0,0.006706,0.024288,0,0,0,0,0.0015251,0,0.0025028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001904,0,0,0
panActinomyces_sp_ICM39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019143,0,0,0,0,0,0,0,0,0,0.0016504,0.001985,0.0019988,0,0.0026446,0.0033762,0,0,0.0011099,0.0017692,0,0.0013652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
