MicrobeID	Folate	Thiamin	Riboflavin	Niacin	Pyridoxine	Cobalamin	Menaquinone	GABA	Biotin	Cholate	Chenodeoxycholate	Deoxycholate	Tyramine	Tryptamine	Trimethylamine N-oxide	Trimethylamine	Spermine	Spermidine	Putrescine	p-Cresol	Ammonia	Nitrogen	Methylamine	Methanol	L-threonine	Linoleic acid	Lithocholate	L-glutamate	L-glutamine	L-alanine	Indole-3-acetate	Histamine	Peroxide	5-Aminovalerate	2-Oxobutyrate	1,2-Ethanediol	Hydrogen	2-Aminobutyrate	1,3-Propanediol	1,2-propanediol	Acetone	Butylamine	Cadaverine	Formaldehyde	Urea	Propanol	Propanal	Phenylethylamine	Isopropanol	L-malate	Sulfide	Ref1	Ref2	Ref3
Achromobacter_sp_2789STDY5608615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Achromobacter_sp_2789STDY5608621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Actinomyces_bouchesdurhonensis_Marseille_P2825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Actinomyces_sp_HMSC035G02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Actinomyces_sp_ICM54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Actinomyces_sp_ICM58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Actinomyces_sp_S6_Spd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Actinomyces_sp_oral_taxon_172_str_F0311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Actinomyces_sp_oral_taxon_181_str_F0379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
Actinotignum_timonense_UMB0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
