LipidGroup,BH1,BH2,BH3,BH4,BN2,BN3,BN5,BN6,CH1,CH2,CH3,CH5,CN1,CN2,CN3,CN5
AcCa(14:0)+H,14807308.4,34237955.78,44568656.32,42462428.19,37120429.35,50597399.22,34583089.35,44483836.44,38690869.86,34829057.95,27529223.87,60462782.62,73288412.8,48725018.72,32409614.58,11781231.5
AcCa(16:0)+H,13371564.24,39320355.07,38303209.4,34192974.82,46455134.01,41097874.35,47556480.04,29927864.71,26063338.05,33595515.13,39230817.67,20611959.65,2787272.004,5364851.555,29272097.58,31151596.17
BisMePA(20:5e)+NH4,25453591.03,31615178.88,26933610.64,31358362.15,45261847.78,42136210.01,42188644.31,43180582.06,45914474.94,32918480.45,40632966.63,36317044.3,28145474.61,26478411.6,36524812.06,34470669.53
Cer(d34:1)+HCOO,1895954.633,1806036.701,2804141.62,2290864.605,2840139.556,4534858.765,3550803.985,2806827.952,2101077.788,2000705.279,1701359.884,2907912.598,1943202.392,2269290.626,2168412.726,2559625.571
Cer(d42:1)+HCOO,1823175.357,2283724.936,2718033.579,2956501.811,3818096.124,4316719.142,3316324.508,5041884.188,3221716.592,2475378.172,4418931.158,3849884.952,3685844.805,2913380.32,3254783.59,5581482.538
Cer(d42:2)+HCOO,2197247.842,2057193.446,2687882.786,2194158.709,3565449.775,5989194.588,4670613.179,4025895.762,4111505.008,2671400.21,2140057.916,2661162.985,4721395.567,1882426.928,4451813.831,3879665.502
Cer(d42:2)+H,4929044.618,6219569.605,7297422.031,3605306.285,10451072.91,8385309.205,7126925.477,4957510.71,4942551.127,5939591.913,6462257.101,6473364.89,9738829.181,5227622.421,9534507.711,7924112.382
ChE()+H-H2O,950558783,1063898983,1170031954,1050762954,912555009.5,905430785.4,949940436,988709171.7,597052339,641369757.2,490686496.4,538985639.9,449127141.6,324130122,513993833.1,504247986.1
ChE()+H-H2O,125785357.1,254610926.2,183434083.1,220865141.2,205758946.4,211742034.9,191808517.6,202440894.4,274233275.7,254088725.5,233318924.8,264683772.7,215014064.4,293067224.8,298949717.7,272484811.5
ChE(16:0)+NH4,9131301.858,15333376.83,10733457.11,10877305.04,12591316.66,12843198.13,12424976.25,14282191.51,15053249.35,14047582.54,12790467.67,9882608.09,14101879.47,12166170.88,17756720.13,11642234.88
ChE(18:1)+NH4,33929949.26,53144957.14,45717575.99,41305348.26,43654183.73,40386760.5,46782877.46,39482536.51,87439568.71,79397600.11,74472659.13,77060386.1,70300307.17,103322449.4,80348835.57,83264570.15
ChE(18:2)+NH4,941872943.5,1222330867,1210055959,1322803545,1206315596,1272382268,1288057693,1247913445,678963727.5,704852862.1,689076355.3,726141626.8,851658905.4,699588525.5,1047825267,1066742102
ChE(18:3)+NH4,31022963.81,46085760.91,37200857.78,49820352.13,50760256.02,61256262.74,51746791.01,54855954.01,34783109.55,36645256.05,23147023.47,36171055.18,33340998.82,44553770.46,41711905.85,33816960.92
ChE(20:2)+NH4,33764798.06,33620253.09,37255138.06,40264902.65,33341073.43,34999173.33,43328568.43,46831474.21,14462548.4,21062399.63,18261924.7,24707605.25,27198862.31,12029613.16,21111084.97,35694734.96
ChE(20:3)+NH4,221446540.9,285229826.4,283998281.5,280634180.6,225865003.8,224964253.4,260993007.1,250189364.6,127517830.5,113965266.7,135907819.4,117527830.6,104171775.7,107253676.2,138851735.4,148437139.2
ChE(20:4)+NH4,3428775939,3859480866,3962649990,3862580692,3123483160,2996963877,3401154926,3538762878,2173673987,2413358503,2113355660,2174368380,1652336524,1393449542,2106119036,2042436351
ChE(20:4)+H,18640899.12,14941072.89,18224331.63,23357985.08,21763293.23,13589584.05,20029615.07,7892484.359,5177322.276,10159853.42,6880710.205,7182641.302,3973295.001,3300423.645,9165166.185,5775104.226
ChE(20:4)+NH4,19415485.99,17341736.02,13205395.76,50397348.52,18359370.36,45041681.14,179065758.4,56501137.51,10150998.72,11255247.95,89907820.46,8113856.657,2051347.23,3960580.198,49681838.55,11078427.13
ChE(20:5)+NH4,103778723.4,158452550.4,148701402.3,178199118.5,152443440.4,164649661.2,158283650.5,167950200.5,104681687.8,90400355.58,100689656.2,108600191.4,107470731.5,103925780.8,125276572.8,144182210.8
ChE(22:4)+NH4,89815978.28,87651839.01,87797774.44,83137794.89,75685698.07,79480538.77,73394807.93,89365626.69,54244549.35,48812322.44,43359598.2,65317189.9,56877755.9,21929896.71,39383089.05,50328091.37
