MicrobeID,Strain,Species,Genus,Family,Order,Class,Phylum,Kingdom,NCBI Taxonomy ID,RefSeq ID,Genbank ID,Gram Staining,Oxygen Requirement,BacDive ID,BacDive strain,Download link
Achromobacter_sp_2789STDY5608615,Achromobacter sp. 2789STDY5608615,Achromobacter sp. 2789STDY5608615,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1806492,GCF_001298995.1,GCA_001298995.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/995/GCF_001298995.1_11861_6_9/GCF_001298995.1_11861_6_9_genomic.fna.gz
Achromobacter_sp_2789STDY5608621,Achromobacter sp. 2789STDY5608621,Achromobacter sp. 2789STDY5608621,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1806496,GCF_001299375.1,GCA_001299375.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/299/375/GCF_001299375.1_11861_6_15/GCF_001299375.1_11861_6_15_genomic.fna.gz
Actinomyces_bouchesdurhonensis_Marseille_P2825,Actinomyces bouchesdurhonensis Marseille-P2825,Actinomyces bouchesdurhonensis,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1852361,GCF_900128465.1,GCA_015259455.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/465/GCF_900128465.1_PRJEB18045/GCF_900128465.1_PRJEB18045_genomic.fna.gz
Actinomyces_sp_HMSC035G02,Actinomyces sp. HMSC035G02,Actinomyces sp. HMSC035G02,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1739406,GCF_001838165.1,GCA_001838165.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/838/165/GCF_001838165.1_ASM183816v1/GCF_001838165.1_ASM183816v1_genomic.fna.gz
Actinomyces_sp_ICM54,Actinomyces sp. ICM54,Actinomyces sp. ICM54,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,936549,GCF_000565035.1,GCA_000565035.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/035/GCF_000565035.1_AspICM54v1.0/GCF_000565035.1_AspICM54v1.0_genomic.fna.gz
Actinomyces_sp_ICM58,Actinomyces sp. ICM58,Actinomyces sp. ICM58,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1105030,GCF_000283035.1,GCA_000283035.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/035/GCF_000283035.1_AspICM58v1.0/GCF_000283035.1_AspICM58v1.0_genomic.fna.gz
Actinomyces_sp_oral_taxon_172_str_F0311,Actinomyces sp. oral taxon 172 str. F0311,Actinomyces sp. oral taxon 172,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,712118,GCF_000466265.1,GCA_000466265.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/265/GCF_000466265.1_ASM46626v1/GCF_000466265.1_ASM46626v1_genomic.fna.gz
Actinomyces_sp_oral_taxon_181_str_F0379,Actinomyces sp. oral taxon 181 str. F0379,Actinomyces sp. oral taxon 181,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,712121,GCF_000318335.2,GCA_018363635.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/335/GCF_000318335.2_ASM31833v2/GCF_000318335.2_ASM31833v2_genomic.fna.gz
Actinomyces_sp_S6_Spd3,Actinomyces sp. S6-Spd3,Actinomyces sp. S6-Spd3,Actinomyces,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1284680,GCF_000758755.1,GCA_000758755.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/758/755/GCF_000758755.1_04_NF40_HMP1627v01/GCF_000758755.1_04_NF40_HMP1627v01_genomic.fna.gz
Actinotignum_timonense_UMB0063,Actinotignum timonense UMB0063,Actinotignum timonense,Actinotignum,Actinomycetaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,1870995,GCF_002860685.1,GCA_002860685.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/860/685/GCF_002860685.1_ASM286068v1/GCF_002860685.1_ASM286068v1_genomic.fna.gz
Agathobaculum_butyriciproducens_OF09_27,Agathobaculum butyriciproducens OF09-27,Agathobaculum butyriciproducens,Agathobaculum,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1628085,GCF_003434755.1,GCA_003096535.1,Gram+,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/434/755/GCF_003434755.1_ASM343475v1/GCF_003434755.1_ASM343475v1_genomic.fna.gz
Alistipes_sp_AM16_43,Alistipes sp. AM16-43,Alistipes sp. AM16-43,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,2292911,GCF_003435745.1,GCA_003435745.1,Gram-,Anaerobe,,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/435/745/GCF_003435745.1_ASM343574v1/GCF_003435745.1_ASM343574v1_genomic.fna.gz
Anaerococcus_nagyae_DSM_101193,Anaerococcus nagyae DSM 101193,Anaerococcus nagyae,Anaerococcus,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria,1755241,GCF_017874535.1,GCA_017874535.1,Gram+,Anaerobe,132506,Anaerococcus nagyae ENR0686 DSM 101193,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/874/535/GCF_017874535.1_ASM1787453v1/GCF_017874535.1_ASM1787453v1_genomic.fna.gz
